Make,Model,Year Range,PCD,Center Bore,R12,R13,R14,R15,R16,R17,R18,R19,R20,URL
dodge,Durango,2004 - 2008,5x139.7,78.1,,,,,,1,1,,1,https://www.wheelfitment.eu/car/Dodge/Durango%20(2004%20-%202008).html
dodge,Durango,2011 - ,5x127,71.5,,,,,,,1,,1,https://www.wheelfitment.eu/car/Dodge/Durango%20(2011%20-%20).html
dodge,Grand Caravan,2001 - 2007,5x114.3,71.6,,,,1,1,1,1,,,https://www.wheelfitment.eu/car/Dodge/Grand%20Caravan%20(2001-%202007).html
dodge,Grand Caravan,2008 - 2022,5x127,71.6,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Dodge/Grand%20Caravan%20(2008-%202022).html
dodge,Journey,2008 - 2011,5x127,71.6,,,,,,,,,,https://www.wheelfitment.eu/car/Dodge/Journey%20(2008%20-%202011).html
dodge,Magnum,2004 - 2008,5x115,71.6,,,,,,,,,,https://www.wheelfitment.eu/car/Dodge/Magnum%20(2004%20-%202008).html
dodge,Magnum 4x4,2004 - 2008,5x115,71.6,,,,,,,,,,https://www.wheelfitment.eu/car/Dodge/Magnum%204x4%20(2004%20-%202008).html
dodge,Neon,2000 - 2005,5x100,57.1,,,1,1,1,,,,,https://www.wheelfitment.eu/car/Dodge/Neon%20(2000%20-%202005).html
dodge,Neon SRT4,2003 - 2005,5x100,57.1,,,,,,1,1,1,,https://www.wheelfitment.eu/car/Dodge/Neon%20SRT4%20(2003%20-%202005).html
dodge,Nitro,2007 - 2012,5x114.3,71.6,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/Dodge/Nitro%20(2007%20-%202012).html
dodge,Pickup,1971 - 1993,8x165.1,117,,,,,,,,,,https://www.wheelfitment.eu/car/Dodge/Pickup%20(1971%20-%201993).html
dodge,RAM 1500,1993 - 2001,5x139.7,77.8,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Dodge/RAM%201500%20(1993%20-%202001).html
dodge,RAM 1500,2002 - 2008,5x139.7,77.8,,,,,,1,1,,,https://www.wheelfitment.eu/car/Dodge/RAM%201500%20(2002%20-%202008).html
dodge,Ram 1500,2009 - 2012,5x139.7,78.1,,,,,,1,1,,1,https://www.wheelfitment.eu/car/Dodge/Ram%201500%20(2009%20-%202012).html
dodge,Ram 1500,2012 - 2018,5x139.7,78.1,,,,,,1,1,,1,https://www.wheelfitment.eu/car/Dodge/Ram%201500%20(2012%20-%202018).html
dodge,RAM 1500,2019 - ,6x139.7,77.8,,,,,,,1,,,https://www.wheelfitment.eu/car/Dodge/RAM%201500%20(2019%20-%20).html
dodge,Ramcharger,1979 - 1983,5x139.7,77.8,,,,,,,,,,https://www.wheelfitment.eu/car/Dodge/Ramcharger%20(1979%20-%201983).html
dodge,Stratus,1995 - 2000,5x110,57.1,,,,,,,,,,https://www.wheelfitment.eu/car/Dodge/Stratus%20(1995%20-%202000).html
fiat,124 Spider,2015 - ,4x100,54.1,,,,,1,1,,,,https://www.wheelfitment.eu/car/Fiat/124%20Spider%20(2015%20-%20).html
fiat,500,1957 - 1976,4x98,150,,,,,,,,,,https://www.wheelfitment.eu/car/Fiat/500%20(1957%20-%201976).html
fiat,500,2007 - ,4x98,58.1,,,1,1,1,1,,,,https://www.wheelfitment.eu/car/Fiat/500%20(2007%20-%20).html
fiat,500e,2013 - 2019,4x98,58.1,,,,1,1,,,,,https://www.wheelfitment.eu/car/Fiat/500e%20(2013%20-%202019).html
fiat,500e,2020 - ,4x98,58.1,,,,1,1,1,,,,https://www.wheelfitment.eu/car/Fiat/500e%20(2020%20-%20).html
fiat,500L,2012 - ,5x98,58.1,,,,1,1,1,1,1,,https://www.wheelfitment.eu/car/Fiat/500L%20(2012%20-%20).html
fiat,500L Trekking,2013 - ,5x98,58.1,,,,,,,,,,https://www.wheelfitment.eu/car/Fiat/500L%20Trekking%20(2013%20-%20).html
fiat,500X,2014 - ,5x110,65.1,,,,,,,,,,https://www.wheelfitment.eu/car/Fiat/500X%20(2014%20-%20).html
fiat,600,2023 - ,4x108,65.1,,,,,1,1,1,,,https://www.wheelfitment.eu/car/Fiat/600%20(2023%20-%20).html
fiat,600E,2023 - ,4x108,65.1,,,,,1,1,1,,,https://www.wheelfitment.eu/car/Fiat/600E%20(2023%20-%20).html
fiat,Albea,2002 - 2012,4x98,58.1,,,1,1,1,1,,,,https://www.wheelfitment.eu/car/Fiat/Albea%20(2002%20-%202012).html
fiat,Barchetta,1995 - 2005,4x98,58.1,,,,1,1,1,,,,https://www.wheelfitment.eu/car/Fiat/Barchetta%20(1995%20-%202005).html
fiat,Brava,1995 - 2001,4x98,58.1,,,1,1,1,1,1,,,https://www.wheelfitment.eu/car/Fiat/Brava%20(1995%20-%202001).html
fiat,Bravo,1995 - 2001,4x98,58.1,,,1,1,1,1,1,,,https://www.wheelfitment.eu/car/Fiat/Bravo%20(1995%20-%202001).html
fiat,Bravo,2007 - ,4x98,58.1,,,,1,1,1,1,1,,https://www.wheelfitment.eu/car/Fiat/Bravo%20(2007%20-%20).html
fiat,Cinquecento,1991 - 1998,4x98,58.1,,,1,,,,,,,https://www.wheelfitment.eu/car/Fiat/Cinquecento%20(1991%20-%201998).html
fiat,Coupe,1993 - 2000,4x98,58.1,,,,,,,,,,https://www.wheelfitment.eu/car/Fiat/Coupe%20(1993%20-%202000).html
fiat,Coupe Turbo,1993 - 2000,4x98,58.1,,,,,,,,,,https://www.wheelfitment.eu/car/Fiat/Coupe%20Turbo%20(1993%20-%202000).html
fiat,Croma,1985 - 1996,4x98,58.1,,,1,1,1,,,,,https://www.wheelfitment.eu/car/Fiat/Croma%20(1985%20-%2019967).html
fiat,Croma,2005 - 2007,5x110,65.1,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Fiat/Croma%20(2005%20-%202007).html
fiat,Croma,2007 - 2011,5x110,65.1,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Fiat/Croma%20(2007%20-%202011).html
fiat,Doblo,2001 - 2005,4x98,58.1,,,1,1,1,1,1,,,https://www.wheelfitment.eu/car/Fiat/Doblo%20(2001%20-%202005).html
fiat,Doblo,2005 - 2010,4x98,58.1,,,,1,1,1,1,,,https://www.wheelfitment.eu/car/Fiat/Doblo%20(2005%20-%202010).html
fiat,Doblo,2010 - 2022,5x98,58.1,,,,1,1,1,1,1,1,https://www.wheelfitment.eu/car/Fiat/Doblo%20(2010%20-%202022).html
fiat,Doblo,2022 - ,5x98,58.1,,,,,1,,,,,https://www.wheelfitment.eu/car/Fiat/Doblo%20(2022%20-%20).html
fiat,Doblo Maxi,2010 - 2022,5x98,58.1,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Fiat/Doblo%20Maxi%20(2010%20-%202022).html
fiat,Ducato,1982 - 1990,5x118,71.1,,,,,,,,,,https://www.wheelfitment.eu/car/Fiat/Ducato%20(1982%20-%201990).html
fiat,Ducato,1989 - 1994,5x118,71.1,,,,,,,,,,https://www.wheelfitment.eu/car/Fiat/Ducato%20(1989%20-%201994).html
fiat,Ducato,1994 - 2006,5x118,71.1,,,,,,,,,,https://www.wheelfitment.eu/car/Fiat/Ducato%20(1994%20-%202006).html
fiat,Ducato,2006 - 2010,5x118,71.1,,,,,,,,,,https://www.wheelfitment.eu/car/Fiat/Ducato%20(2006%20-%202010).html
fiat,Ducato,2010 - ,5x118,71.1,,,,,,,,,,https://www.wheelfitment.eu/car/Fiat/Ducato%20(2010%20-%20).html
fiat,Ducato Maxi,1994 - 2006,5x130,78.1,,,,,,,,,,https://www.wheelfitment.eu/car/Fiat/Ducato%20Maxi%20(1994%20-%202006).html
fiat,Ducato Maxi,2006 - 2010,5x130,78.1,,,,,,,,,,https://www.wheelfitment.eu/car/Fiat/Ducato%20Maxi%20(2006%20-%202010).html
fiat,Ducato Maxi,2010 - ,5x130,78.1,,,,,,,,,,https://www.wheelfitment.eu/car/Fiat/Ducato%20Maxi%20(2010%20-%20).html
fiat,Duna,1985 - 1997,4x98,58.1,,,,,,,,,,https://www.wheelfitment.eu/car/Fiat/Duna%20(1985%20-%201997).html
fiat,e-Doblo,2022 - ,5x98,58.1,,,,,1,,,,,https://www.wheelfitment.eu/car/Fiat/e-Doblo%20(2022%20-%20).html
fiat,Fiorino,1989 - 2001,4x98,58.1,,1,1,,,,,,,https://www.wheelfitment.eu/car/Fiat/Fiorino%20(1989%20-%202001).html
fiat,Fiorino,2006 - ,4x98,58.1,,,1,1,1,1,1,,,https://www.wheelfitment.eu/car/Fiat/Fiorino%20(2006%20-%20).html
fiat,Freemont,2011 - 2016,5x127,71.5,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/Fiat/Freemont%20(2011%20-%202016).html
fiat,Grand Punto,2005 - 2009,4x100,56.6,,,,1,1,1,1,1,,https://www.wheelfitment.eu/car/Fiat/Grand%20Punto%20(2005%20-%202009).html
fiat,Idea,2003 - 2016,4x98,58.1,,,1,1,1,1,1,,,https://www.wheelfitment.eu/car/Fiat/Idea%20(2003%20-%202016).html
fiat,Linea,2007 - 2016,4x98,58.1,,,,1,1,1,1,1,,https://www.wheelfitment.eu/car/Fiat/Linea%20(2007%20-%202016).html
fiat,Marea,1996 - 2001,4x98,58.1,,,1,1,1,1,1,,,https://www.wheelfitment.eu/car/Fiat/Marea%20(1996%20-%202001).html
fiat,Multipla,1999 - 2010,4x98,58.1,,,,1,1,1,,,,https://www.wheelfitment.eu/car/Fiat/Multipla%20(1999%20-%202010).html
fiat,Palio,1998 - 2006,4x98,58.1,,,,,,,,,,https://www.wheelfitment.eu/car/Fiat/Palio%20(1998%20-%202006).html
fiat,Panda,1980 - 2003,4x98,58.1,,,,,,,,,,https://www.wheelfitment.eu/car/Fiat/Panda%20(1980%20-%202003).html
fiat,Panda,2003 - 2012,4x98,58.1,,1,1,1,1,,,,,https://www.wheelfitment.eu/car/Fiat/Panda%20(2003%20-%202012).html
fiat,Panda,2012 - ,4x98,58.1,,,1,1,1,1,,,,https://www.wheelfitment.eu/car/Fiat/Panda%20(2012%20-%20).html
fiat,Panda 4x4,2003 - 2012,4x98,58.1,,,1,1,1,,,,,https://www.wheelfitment.eu/car/Fiat/Panda%204x4%20(2003%20-%202012).html
fiat,Petra,1996 - 2012,4x98,58.1,,,,,,,,,,https://www.wheelfitment.eu/car/Fiat/Petra%20(1996%20-%202012).html
fiat,Punto,1993 - 1999,4x98,58.1,,,1,1,1,1,,,,https://www.wheelfitment.eu/car/Fiat/Punto%20(1993%20-%201999).html
fiat,Punto,1999 - 2011,4x98,58.1,,,1,1,1,1,,,,https://www.wheelfitment.eu/car/Fiat/Punto%20(1999%20-%202011).html
fiat,Punto,2012 - 2018,4x100,56.6,,,,1,1,1,,,,https://www.wheelfitment.eu/car/Fiat/Punto%20(2012%20-%202018).html
fiat,Punto Evo,2009 - 2012,4x100,56.6,,,,1,1,1,1,1,,https://www.wheelfitment.eu/car/Fiat/Punto%20Evo%20(2009%20-%202012).html
fiat,Qubo,2010 - ,4x98,58.1,,,,1,1,1,1,,,https://www.wheelfitment.eu/car/Fiat/Qubo%20(2010%20-%20).html
fiat,Regata,1983 - 1990,4x98,58.1,,,,,,,,,,https://www.wheelfitment.eu/car/Fiat/Regata%20(1983%20-%201990).html
fiat,Ritmo,1978 - 1988,4x98,58.1,,,,,,,,,,https://www.wheelfitment.eu/car/Fiat/Ritmo%20(1978%20-%201988).html
fiat,Scudo,1996 - 2004,5x98,65.1,,,,,,,,,,https://www.wheelfitment.eu/car/Fiat/Scudo%20(1996%20-%202004).html
fiat,Scudo,2004 - 2006,5x98,58.1,,,,,,,,,,https://www.wheelfitment.eu/car/Fiat/Scudo%20(2004%20-%202006).html
fiat,Scudo,2007 - 2016,5x108,65.1,,,,,,,,,,https://www.wheelfitment.eu/car/Fiat/Scudo%20(2007%20-%202016).html
fiat,Scudo,2022 - ,5x108,65.1,,,,,1,1,,,,https://www.wheelfitment.eu/car/Fiat/Scudo%20(2022%20-%20).html
fiat,Sedici,2006 - 2016,5x114.3,60.1,,,,1,1,1,1,1,,https://www.wheelfitment.eu/car/Fiat/Sedici%20(2006%20-%202016).html
fiat,Seicento,1998 - 2010,4x98,58.1,,,,,,,,,,https://www.wheelfitment.eu/car/Fiat/Seicento%20(1998%20-%202010).html
fiat,Siena,1996 - 2012,4x98,58.1,,,,,,,,,,https://www.wheelfitment.eu/car/Fiat/Siena%20(1996%20-%202012).html
fiat,Stilo,2001 - 2007,4x98,58.1,,,,1,1,1,1,1,,https://www.wheelfitment.eu/car/Fiat/Stilo%20(2001%20-%202007).html
fiat,Strada,1996 - 2012,4x98,58.1,,,1,1,1,1,1,,,https://www.wheelfitment.eu/car/Fiat/Strada%20(1996%20-%202012).html
fiat,Strada,2012 - ,4x98,58.1,,,,1,1,1,1,,,https://www.wheelfitment.eu/car/Fiat/Strada%20(2012%20-%20).html
fiat,Talento,2016 - ,5x114.3,66.1,,,,,1,1,,,,https://www.wheelfitment.eu/car/Fiat/Talento%20(2016%20-%20).html
fiat,Tempra,1990 - 1998,4x98,58.1,,,,,,,,,,https://www.wheelfitment.eu/car/Fiat/Tempra%20(1990%20-%201998).html
fiat,Tipo,1988 - 1995,4x98,58.1,,,,,,,,,,https://www.wheelfitment.eu/car/Fiat/Tipo%20(1988%20-%201995).html
fiat,Tipo,2015 - ,5x98,58.1,,,,1,1,1,1,1,1,https://www.wheelfitment.eu/car/Fiat/Tipo%20(2015%20-%20).html
fiat,Topolino,2023 - ,4x108,65.1,,,1,1,,,,,,https://www.wheelfitment.eu/car/Fiat/Topolino%20(2023%20-%20).html
fiat,Ulysse,1994 - 2002,5x98,58.1,,,,1,1,1,,,,https://www.wheelfitment.eu/car/Fiat/Ulysse%20(1994%20-%202002).html
fiat,Ulysse,2003 - 2010,5x98,58.1,,,,1,1,1,1,,,https://www.wheelfitment.eu/car/Fiat/Ulysse%20(2003%20-%202010).html
fiat,Uno,1983 - 1995,4x98,58.1,,,,,,,,,,https://www.wheelfitment.eu/car/Fiat/Uno%20(1983%20-%201995).html
ford,500,2005 - 2008,5x114.3,63.4,,,,,,,,,,https://www.wheelfitment.eu/car/Ford/500%20(2005%20-%202008).html
ford,Aerostar,1985 - 1997,5x114.3,64.1,,,,,,,,,,https://www.wheelfitment.eu/car/Ford/Aerostar%20(1985%20-%201997).html
ford,B Max,2012 - 2018,4x108,63.4,,,,1,1,1,1,1,,https://www.wheelfitment.eu/car/Ford/B%20Max%20(2012%20-%202018).html
ford,Bronco,1975 - 1996,5x139.7,87.1,,,,,,,,,,https://www.wheelfitment.eu/car/Ford/Bronco%20(1975%20-%201996).html
ford,Bronco,2021 - ,6x139.7,93.1,,,,,1,1,1,,,https://www.wheelfitment.eu/car/Ford/Bronco%20(2021%20-%20).html
ford,Bronco II,1982 - 1992,5x114.3,70.6,,,,,,,,,,https://www.wheelfitment.eu/car/Ford/Bronco%20II%20(1982%20-%201992).html
ford,C Max,2003 - 2010,5x108,63.4,,,,1,1,1,1,1,,https://www.wheelfitment.eu/car/Ford/C%20Max%20(2003%20-%202010).html
ford,C Max,2010 - 2019,5x108,63.4,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Ford/C%20Max%20(2010%20-%202019).html
ford,Cougar,1999 - 2004,4x108,63.4,,,,,1,1,1,,,https://www.wheelfitment.eu/car/Ford/Cougar%20(1999%20-%202004).html
ford,Courier,1995 - 2000,4x108,63.4,,1,1,,,,,,,https://www.wheelfitment.eu/car/Ford/Courier%20(1995%20-%202000).html
ford,Courier,2000 - 2013,4x108,63.4,,1,1,,,,,,,https://www.wheelfitment.eu/car/Ford/Courier%20(2000%20-%202013).html
ford,Crown,1960 - 1972,5x114.3,70.3,,,,,,,,,,https://www.wheelfitment.eu/car/Ford/Crown%20(1960%20-%201972).html
ford,Crown Victoria,1992 - 1997,5x114.3,70.5,,,,1,1,1,,,,https://www.wheelfitment.eu/car/Ford/Crown%20Victoria%20(1992%20-%201997).html
ford,Crown Victoria,1998 - 2011,5x114.3,70.5,,,,,1,1,1,,,https://www.wheelfitment.eu/car/Ford/Crown%20Victoria%20(1998%20-%202011).html
ford,E-150 Econoline,1992 - 2007,5x139.7,87,,,,1,,,,,,https://www.wheelfitment.eu/car/Ford/E-150%20Econoline%20(1992%20-%202007).html
ford,E-150 Econoline,2008 - 2014,8x165.1,87,,,,,1,,,,,https://www.wheelfitment.eu/car/Ford/E-150%20Econoline%20(2008%20-%202014).html
ford,E-250 Econoline,1992 - 2007,8x165.1,123.9,,,,,1,,,,,https://www.wheelfitment.eu/car/Ford/E-250%20Econoline%20(1992%20-%202007).html
ford,E-250 Econoline,2008 - 2014,8x165.1,123.9,,,,,1,,,,,https://www.wheelfitment.eu/car/Ford/E-250%20Econoline%20(2008%20-%202014).html
ford,E-350,1992 - 2007,8x165.1,123.9,,,,,1,,,,,https://www.wheelfitment.eu/car/Ford/E-350%20(1992%20-%202007).html
ford,EcoSport,2014 - 2023,4x108,63.4,,,,1,1,1,,,,https://www.wheelfitment.eu/car/Ford/EcoSport%20(2014%20-%202023).html
ford,Edge,2006 - 2015,5x114.3,70.6,,,,,,,,,,https://www.wheelfitment.eu/car/Ford/Edge%20(2006%20-%202015).html
ford,Edge,2015 - ,5x108,63.4,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/Ford/Edge%20(2015%20-%20).html
ford,Escape,2000 - 2006,5x114.3,67.1,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Ford/Escape%20(2000%20-%202006).html
ford,Escape,2007 - 2012,5x114.3,67.1,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Ford/Escape%20(2007%20-%202012).html
ford,Escape,2012 - 2019,5x108,63.4,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/Ford/Escape%20(2012%20-%202019).html
ford,Escape,2020 - ,5x108,63.4,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/Ford/Escape%20(2020%20-%20).html
ford,Escort,1980 - 1985,4x108,63.4,,1,1,1,,,,,,https://www.wheelfitment.eu/car/Ford/Escort%20(1980%20-%201985).html
ford,Escort,1985 - 1990,4x108,63.4,,1,1,1,,,,,,https://www.wheelfitment.eu/car/Ford/Escort%20(1985%20-%201990).html
ford,Escort,1990 - 2000,4x108,63.4,,,1,1,1,1,1,,,https://www.wheelfitment.eu/car/Ford/Escort%20(1990%20-%202000).html
ford,Escort Express,1990 - 1999,4x108,63.4,,,,,,,,,,https://www.wheelfitment.eu/car/Ford/Escort%20Express%20(1990%20-%201999).html
ford,Escort RS Cosworth,1992 - 1996,4x108,63.4,,,,,,,,,,https://www.wheelfitment.eu/car/Ford/Escort%20RS%20Cosworth%20(1992%20-%201996).html
ford,Excursion,2000 - 2005,8x170,124.9,,,,,,1,1,,1,https://www.wheelfitment.eu/car/Ford/Excursion%20(2000%20-%202005).html
ford,Expedition,2007 - 2017,6x135,87.1,,,,,,1,1,,1,https://www.wheelfitment.eu/car/Ford/Expedition%20(2007%20-%202017).html
ford,Expedition,2018 - ,6x135,87.1,,,,,,,1,,1,https://www.wheelfitment.eu/car/Ford/Expedition%20(2018%20-%20).html
ford,Explorer,1991 - 2002,5x114.3,70.6,,,,,,,,,,https://www.wheelfitment.eu/car/Ford/Explorer%20(1991%20-%202002).html
ford,Explorer,2002 - 2010,5x114.3,70.3,,,,,1,1,1,,1,https://www.wheelfitment.eu/car/Ford/Explorer%20(2002%20-%202010).html
ford,Explorer,2011 - 2019,5x114.3,63.4,,,,,,,1,,1,https://www.wheelfitment.eu/car/Ford/Explorer%20(2011%20-%202019).html
ford,Explorer,2020 - ,5x114.3,70.5,,,,,,,1,,1,https://www.wheelfitment.eu/car/Ford/Explorer%20(2020%20-%20).html
ford,Explorer EV,2024 - ,5x112,57.1,,,,,,,,1,1,https://www.wheelfitment.eu/car/Ford/Explorer%20EV%20(2024%20-%20).html
ford,F150,1997 - 2004,8x170,124.9,,,,,,1,1,,1,https://www.wheelfitment.eu/car/Ford/F150%20(1997%20-%202004).html
ford,F150,2004 - 2008,6x135,87.1,,,,,,,,,,https://www.wheelfitment.eu/car/Ford/F150%20(2004%20-%202008).html
ford,F150,2009 - 2014,6x135,87.1,,,,,,1,1,,1,https://www.wheelfitment.eu/car/Ford/F150%20(2009%20-%202014).html
ford,F150,2015 - 2020,6x135,87.1,,,,,,1,1,,1,https://www.wheelfitment.eu/car/Ford/F150%20(2015%20-%202020).html
ford,F150,2020 - ,6x135,87.1,,,,,,1,1,,1,https://www.wheelfitment.eu/car/Ford/F150%20(2020%20-%20).html
ford,F250,1999 - 2007,8x170,124.9,,,,,,1,1,,1,https://www.wheelfitment.eu/car/Ford/F250%20(1999%20-%202007).html
ford,F250,2008 - 2010,8x170,124.9,,,,,,1,1,,1,https://www.wheelfitment.eu/car/Ford/F250%20(2008%20-%202010).html
ford,F250,2011 - 2016,8x170,124.9,,,,,,1,1,,1,https://www.wheelfitment.eu/car/Ford/F250%20(2011%20-%202016).html
ford,F250,2017 - 2022,8x170,124.9,,,,,,1,1,,1,https://www.wheelfitment.eu/car/Ford/F250%20(2017%20-%202022).html
ford,F350,1997 - 2004,8x170,124.9,,,,,,1,1,,1,https://www.wheelfitment.eu/car/Ford/F350%20(1997%20-%202004).html
ford,Fairline,1955 - 1970,5x114.3,70.3,,,,,,,,,,https://www.wheelfitment.eu/car/Ford/Fairline%20(1955%20-%201970).html
ford,Fiesta,1976 - 1983,4x108,63.4,,1,1,1,1,,,,,https://www.wheelfitment.eu/car/Ford/Fiesta%20(1976%20-%201983).html
ford,Fiesta,1983 - 1989,4x108,63.4,,1,1,1,1,,,,,https://www.wheelfitment.eu/car/Ford/Fiesta%20(1983%20-%201989).html
ford,Fiesta,1989 - 2002,4x108,63.4,,1,1,1,1,,,,,https://www.wheelfitment.eu/car/Ford/Fiesta%20(1989%20-%202002).html
ford,Fiesta,2002 - 2008,4x108,63.4,,,1,1,1,1,1,,,https://www.wheelfitment.eu/car/Ford/Fiesta%20(2002%20-%202008).html
ford,Fiesta,2008 - 2017,4x108,63.4,,,1,1,1,1,1,,,https://www.wheelfitment.eu/car/Ford/Fiesta%20(2008%20-%202017).html
ford,Fiesta,2017 - ,4x108,63.4,,,,1,1,1,1,,,https://www.wheelfitment.eu/car/Ford/Fiesta%20(2017%20-%20).html
ford,Flex,2009 - 2019,5x114.3,70.3,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/Ford/Flex%20(2009%20-%202019).html
ford,Focus,1998 - 2004,4x108,63.4,,,1,1,1,1,1,1,,https://www.wheelfitment.eu/car/Ford/Focus%20(1998%20-%202004).html
ford,Focus,2004 - 2010,5x108,63.4,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Ford/Focus%20(2004%20-%202010).html
ford,Focus,2011 - 2018,5x108,63.4,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Ford/Focus%20(2011%20-%202018).html
ford,Focus,2018 - ,5x108,63.4,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Ford/Focus%20(2018%20-%20).html
ford,Focus RS,2002 - 2003,4x108,63.4,,,,,,,,,,https://www.wheelfitment.eu/car/Ford/Focus%20RS%20(2002%20-%202003).html
ford,Focus RS,2009 - 2011,5x108,63.4,,,,,,,1,1,1,https://www.wheelfitment.eu/car/Ford/Focus%20RS%20(2009%20-%202011).html
ford,Focus RS,2016 - 2018,5x108,63.4,,,,,,,1,1,1,https://www.wheelfitment.eu/car/Ford/Focus%20RS%20(2016%20-%202018).html
ford,Focus ST,2005 - 2013,5x108,63.4,,,,,,,1,1,1,https://www.wheelfitment.eu/car/Ford/Focus%20ST%20(2005%20-%202013).html
ford,Focus ST170,2002 - 2004,4x108,63.4,,,,,1,1,1,,,https://www.wheelfitment.eu/car/Ford/Focus%20ST170%20(2002%20-%202004).html
ford,Freestar,2004 - 2007,5x114.3,63.4,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Ford/Freestar%20(2004%20-%202007).html
ford,Freestyle,2004 - 2009,5x114.3,63.4,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/Ford/Freestyle%20(2004%20-%202009).html
ford,Fusion EU,2002 - 2012,4x108,63.4,,,,,,,,,,https://www.wheelfitment.eu/car/Ford/Fusion%20EU%20(2002%20-%202012).html
ford,Galaxy,1995 - 2006,5x112,57.1,,,,1,1,1,1,1,,https://www.wheelfitment.eu/car/Ford/Galaxy%20(1995%20-%202006).html
ford,Galaxy,2006 - 2015,5x108,63.4,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Ford/Galaxy%20(2006%20-%202015).html
ford,Galaxy,2015 - 2024,5x108,63.4,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/Ford/Galaxy%20(2015%20-%202024).html
ford,Granada,1978 - 1985,5x112,63.4,,,,,,,,,,https://www.wheelfitment.eu/car/Ford/Granada%20(1978%20-%201985).html
ford,Grand C Max,2010 - 2019,5x108,63.4,,,,,,,,,,https://www.wheelfitment.eu/car/Ford/Grand%20C%20Max%20(2010%20-%202019).html
ford,Grand Marquis,1990 - 2001,5x114.3,70.6,,,,,,,,,,https://www.wheelfitment.eu/car/Ford/Grand%20Marquis%20(1990%20-%202001).html
ford,GT Rear,2005 - 2006,5x114.3,70.5,,,,,,,,1,,https://www.wheelfitment.eu/car/Ford/GT%20Achteras%20(2005%20-%202006).html
ford,GT Rear,2017 - 2020,5x114.3,70.5,,,,,,,,,1,https://www.wheelfitment.eu/car/Ford/GT%20Achteras%20(2017%20-%202020).html
ford,GT Front,2005 - 2006,5x114.3,70.5,,,,,,,1,,,https://www.wheelfitment.eu/car/Ford/GT%20Vooras%20(2005%20-%202006).html
ford,GT Front,2017 - 2020,5x114.3,70.5,,,,,,,,,1,https://www.wheelfitment.eu/car/Ford/GT%20Vooras%20(2017%20-%202020).html
ford,Ka,1996 - 2008,4x108,63.4,,,,,,,,,,https://www.wheelfitment.eu/car/Ford/Ka%20(1996%20-%202008).html
ford,Ka,2008 - 2016,4x98,58.1,,,1,1,1,,,,,https://www.wheelfitment.eu/car/Ford/Ka%20(2008%20-%202016).html
ford,Ka,2016 - 2021,4x108,63.4,,,1,1,1,,,,,https://www.wheelfitment.eu/car/Ford/Ka%20(2015%20-%202021).html
ford,Kuga,2008 - 2013,5x108,63.4,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Ford/Kuga%20(2008%20-%202013).html
ford,Kuga,2013 - 2019,5x108,63.4,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Ford/Kuga%20(2013%20-%202019).html
ford,Kuga,2019 - ,5x108,63.4,,,,,,1,1,1,1,https://www.wheelfitment.eu/car/Ford/Kuga%20(2019%20-%20).html
ford,Landau,1969 - 1978,5x114.3,70.1,,,1,1,1,,,,,https://www.wheelfitment.eu/car/Ford/Landau%20(1969%20-%201978).html
ford,Maverick,2000 - 2007,5x114.3,67.1,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Ford/Maverick%20(2000%20-%202007).html
ford,Mondeo,1993 - 2000,4x108,63.4,,,,,,,,,,https://www.wheelfitment.eu/car/Ford/Mondeo%20(1993%20-%202000).html
ford,Mondeo,2000 - 2007,5x108,63.4,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Ford/Mondeo%20(2000%20-%202007).html
ford,Mondeo,2007 - 2014,5x108,63.4,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Ford/Mondeo%20(2007%20-%202014).html
ford,Mondeo,2014 - 2022,5x108,63.4,,,,,1,1,1,1,1,https://www.wheelfitment.eu/car/Ford/Mondeo%20(2014%20-%202022).html
ford,Mondeo,2022 - ,5x108,63.4,,,,,,1,1,1,,https://www.wheelfitment.eu/car/Ford/Mondeo%20(2022%20-%20).html
